OBJECTID,inci_id,chrgdesc,date_occu,frmBlock,street,Address
83742,2018000290,ASSAULT/SIMPLE,2018-01-06T09:40:00.000Z,400,PINE ST,"0400 PINE ST Lynchburg, VA"
83743,2018000300,LARCENY - SHOPLIFTING,2018-01-06T11:46:51.000Z,3400,CANDLERS MOUNTAIN RD,"3400 CANDLERS MOUNTAIN RD Lynchburg, VA"
83744,2018000308,ASSAULT/SIMPL/HSHLD,2018-01-06T14:00:00.000Z,1400,MONROE ST,"1400 MONROE ST Lynchburg, VA"
83745,2018000307,ASSAULT/SIMPL/HSHLD,2018-01-06T14:50:00.000Z,1400,BROOKVILLE LN,"1400 BROOKVILLE LN Lynchburg, VA"
83746,2018000409,LARCENY - OTHER,2018-01-06T22:45:00.000Z,2500,RIVERMONT AVE,"2500 RIVERMONT AVE Lynchburg, VA"
83747,2018000352,AUTO THEFT,2018-01-06T23:30:00.000Z,5700,WHITE OAK DR,"5700 WHITE OAK DR Lynchburg, VA"
83748,2018000353,AUTO THEFT,2018-01-07T00:00:00.000Z,500,WESTVIEW DR,"0500 WESTVIEW DR Lynchburg, VA"
83749,2018000345,LARCENY - OTHER,2018-01-07T00:30:00.000Z,3800,WARDS RD,"3800 WARDS RD Lynchburg, VA"
83750,2018000342,ASSAULT/SIMPL/HSHLD,2018-01-07T01:16:00.000Z,500,FRANKLIN ST,"0500 FRANKLIN ST Lynchburg, VA"
83751,2018000347,ASSAULT/AGGRAVATED,2018-01-07T02:14:02.000Z,4000,MURRAY PL,"4000 MURRAY PL Lynchburg, VA"
83752,2018000403,LARCENY - OTHER,2018-01-07T10:45:00.000Z,1700,TEXAS AVE,"1700 TEXAS AVE Lynchburg, VA"
83753,2018000360,LARCENY - SHOPLIFTING,2018-01-07T11:00:00.000Z,400,FEDERAL ST,"0400 FEDERAL ST Lynchburg, VA"
83754,2018000371,DUI,2018-01-07T19:03:00.000Z,1400,AUGUSTA ST,"1400 AUGUSTA ST Lynchburg, VA"
83755,2018000374,ASSAULT/SIMPL/HSHLD,2018-01-07T19:04:00.000Z,2100,BROADWAY ST,"2100 BROADWAY ST Lynchburg, VA"
83756,2018000388,LARCENY - SHOPLIFTING,2018-01-07T19:30:00.000Z,3900,WARDS RD,"3900 WARDS RD Lynchburg, VA"
83757,2018000378,LARCENY - OTHER,2018-01-07T21:04:04.000Z,2000,LANGHORNE RD,"2000 LANGHORNE RD Lynchburg, VA"
83758,2018000386,ASSAULT/SIMPLE,2018-01-07T21:48:00.000Z,2200,PRESTON ST,"2200 PRESTON ST Lynchburg, VA"
83759,2018001622,LARCENY - FROM VEHICLE,2018-01-08T00:00:00.000Z,1500,GARFIELD AVE,"1500 GARFIELD AVE Lynchburg, VA"
83760,2018000397,ASSAULT/SIMPL/HSHLD,2018-01-08T09:05:00.000Z,100,WESTOVER BLVD,"0100 WESTOVER BLVD Lynchburg, VA"
83761,2018000417,ASSAULT/SIMPL/HSHLD,2018-01-08T13:21:00.000Z,800,GREENFIELD DR,"0800 GREENFIELD DR Lynchburg, VA"
83762,2018000417,ASSAULT/AGGRAVATED,2018-01-08T13:21:00.000Z,800,GREENFIELD DR,"0800 GREENFIELD DR Lynchburg, VA"
83763,2018000414,LARCENY - SHOPLIFTING,2018-01-08T15:19:08.000Z,2200,LAKESIDE DR,"2200 LAKESIDE DR Lynchburg, VA"
83764,2018000501,LARCENY - OTHER,2018-01-08T15:50:00.000Z,3400,CANDLERS MOUNTAIN RD,"3400 CANDLERS MOUNTAIN RD Lynchburg, VA"
83765,2018000471,LARCENY - OTHER,2018-01-08T16:00:00.000Z,500,GRACE ST,"0500 GRACE ST Lynchburg, VA"
83766,2018000431,ASSAULT/ON POL OFFI,2018-01-08T18:28:05.000Z,1000,OAKLEY AVE,"1000 OAKLEY AVE Lynchburg, VA"
83767,2018000435,DUI,2018-01-08T18:46:59.000Z,800,GRAVES MILL RD,"0800 GRAVES MILL RD Lynchburg, VA"
83768,2018000434,DUI,2018-01-08T18:47:00.000Z,800,GRAVES MILL RD,"0800 GRAVES MILL RD Lynchburg, VA"
83769,2018001063,RAPE/FORCE,2018-01-08T18:51:00.000Z,3300,WILSON AVE,"3300 WILSON AVE Lynchburg, VA"
83770,2018000735,LARCENY - SHOPLIFTING,2018-01-09T08:00:00.000Z,3900,WARDS RD,"3900 WARDS RD Lynchburg, VA"
83771,2018000473,ASSAULT/SIMPL/HSHLD,2018-01-09T10:40:33.000Z,300,JACKSON ST,"0300 JACKSON ST Lynchburg, VA"
83772,2018000619,LARCENY - FROM VEHICLE,2018-01-09T12:00:00.000Z,4700,BOONSBORO RD,"4700 BOONSBORO RD Lynchburg, VA"
83773,2018000480,LARCENY - SHOPLIFTING,2018-01-09T12:15:52.000Z,4000,WARDS RD,"4000 WARDS RD Lynchburg, VA"
83774,2018000626,LARCENY - OTHER,2018-01-09T14:00:00.000Z,2200,TULIP ST,"2200 TULIP ST Lynchburg, VA"
83775,2018000494,LARCENY - OTHER,2018-01-09T15:16:59.000Z,700,MOHAWK DR,"0700 MOHAWK DR Lynchburg, VA"
83776,2018000488,ASSAULT/SIMPLE,2018-01-09T15:21:52.000Z,100,MORGAN ST,"0100 MORGAN ST Lynchburg, VA"
83777,2018000513,LARCENY - FROM VEHICLE,2018-01-09T20:00:00.000Z,500,WILTON AVE,"0500 WILTON AVE Lynchburg, VA"
83778,2018000504,ASSAULT/SIMPLE,2018-01-09T20:15:59.000Z,100,WESTOVER BLVD,"0100 WESTOVER BLVD Lynchburg, VA"
83779,2018000503,ASSAULT/SIMPL/HSHLD,2018-01-09T20:30:00.000Z,0,JACKSON ST,"0000 JACKSON ST Lynchburg, VA"
83780,2018000506,ASSAULT/SIMPLE,2018-01-09T21:19:00.000Z,1500,TAYLOR ST/16TH ST,"TAYLOR ST / 16TH ST Lynchburg, VA"
